customer_id,signup_date,email
1,2025-03-30,user1@example.com
2,2026-01-15,user2@example.com
3,2025-03-15,user3@example.com
4,2025-11-08,user4@example.com
5,2025-06-25,user5@example.com
6,2025-05-08,user6@example.com
7,2025-08-31,
8,2025-11-07,user8@example.com
9,2025-06-26,user9@example.com
10,2025-07-13,user10@example.com
11,2025-07-11,
12,2026-01-02,user12@example.com
13,2025-10-30,user13@example.com
14,2025-05-04,user14@example.com
15,2025-09-06,user15@example.com
16,2025-11-29,user16@example.com
17,2026-01-01,user17@example.com
18,2025-12-11,user18@example.com
19,2025-04-14,user19@example.com
20,2025-05-06,user20@example.com
21,2026-01-11,user21@example.com
22,2025-07-12,
23,2025-04-20,user23@example.com
24,2025-11-02,user24@example.com
25,2025-05-22,user25@example.com
26,2025-05-02,user26@example.com
27,2025-02-26,user27@example.com
28,2025-10-02,user28@example.com
29,2026-01-20,user29@example.com
30,2025-09-12,
31,2025-08-04,user31@example.com
32,2025-03-05,user32@example.com
33,2025-03-18,
34,2025-06-26,user34@example.com
35,2025-11-06,user35@example.com
36,2025-06-18,user36@example.com
37,2025-10-16,user37@example.com
38,2025-04-29,
39,2026-01-13,user39@example.com
40,2025-08-21,user40@example.com
41,2025-08-28,
42,2025-10-11,user42@example.com
43,2025-07-23,
44,2025-04-01,user44@example.com
45,2025-10-21,user45@example.com
46,2025-09-18,user46@example.com
47,2025-04-09,user47@example.com
48,2025-08-09,user48@example.com
49,2025-07-28,user49@example.com
50,2025-12-19,user50@example.com
51,2026-01-12,user51@example.com
52,2026-01-23,user52@example.com
53,2025-07-01,user53@example.com
54,2025-08-19,user54@example.com
55,2026-01-11,user55@example.com
56,2025-10-11,user56@example.com
57,2025-03-22,
58,2025-06-14,user58@example.com
59,2025-08-10,
60,2025-12-24,user60@example.com
61,2025-05-21,user61@example.com
62,2025-05-25,user62@example.com
63,2025-05-03,user63@example.com
64,2025-09-08,user64@example.com
65,2025-04-28,user65@example.com
66,2025-10-23,user66@example.com
67,2025-06-14,
68,2025-12-19,user68@example.com
69,2025-03-31,
70,2025-12-29,user70@example.com
71,2025-03-15,user71@example.com
72,2025-05-27,user72@example.com
73,2025-06-05,
74,2025-07-26,user74@example.com
75,2025-04-30,user75@example.com
76,2025-06-05,user76@example.com
77,2025-06-02,user77@example.com
78,2025-05-06,
79,2025-11-23,user79@example.com
